country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
United Kingdom,GBR1,0,999,Scotland,both,6,30/03/2020,30/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,22,31/03/2020,31/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,28,01/04/2020,01/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,29,02/04/2020,02/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,46,03/04/2020,03/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,46,04/04/2020,04/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,05/04/2020,05/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,06/04/2020,06/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,74,07/04/2020,07/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,08/04/2020,08/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,81,09/04/2020,09/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,48,10/04/2020,10/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,47,11/04/2020,11/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,24,12/04/2020,12/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,9,13/04/2020,13/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,40,14/04/2020,14/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,84,15/04/2020,15/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,80,16/04/2020,16/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,58,17/04/2020,17/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,56,18/04/2020,18/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,10,19/04/2020,19/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,12,20/04/2020,20/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,21/04/2020,21/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,77,22/04/2020,22/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,58,23/04/2020,23/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,64,24/04/2020,24/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,47,25/04/2020,25/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,18,26/04/2020,26/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,13,27/04/2020,27/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,28/04/2020,28/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,83,29/04/2020,29/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,60,30/04/2020,30/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,40,01/05/2020,01/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,44,02/05/2020,02/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,12,03/05/2020,03/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,5,04/05/2020,04/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
